codepoint,character,name
252F,┯,BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
2530,┰,BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
2531,┱,BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
2532,┲,BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
2533,┳,BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
2534,┴,BOX DRAWINGS LIGHT UP AND HORIZONTAL
2535,┵,BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
2536,┶,BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
2537,┷,BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
2538,┸,BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
2539,┹,BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
253A,┺,BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
253B,┻,BOX DRAWINGS HEAVY UP AND HORIZONTAL
253C,┼,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
253D,┽,BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
253E,┾,BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
253F,┿,BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
2540,╀,BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
2541,╁,BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
2542,╂,BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
2543,╃,BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
2544,╄,BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
2545,╅,BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
2546,╆,BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
2547,╇,BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
2548,╈,BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
2549,╉,BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
254A,╊,BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
254B,╋,BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
254C,╌,BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
254D,╍,BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
254E,╎,BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
254F,╏,BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
2550,═,BOX DRAWINGS DOUBLE HORIZONTAL
2551,║,BOX DRAWINGS DOUBLE VERTICAL
2552,╒,BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
2553,╓,BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
2554,╔,BOX DRAWINGS DOUBLE DOWN AND RIGHT
2555,╕,BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
2556,╖,BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
2557,╗,BOX DRAWINGS DOUBLE DOWN AND LEFT
2558,╘,BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
2559,╙,BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
255A,╚,BOX DRAWINGS DOUBLE UP AND RIGHT
255B,╛,BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
255C,╜,BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
255D,╝,BOX DRAWINGS DOUBLE UP AND LEFT
255E,╞,BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
255F,╟,BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
2560,╠,BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
2561,╡,BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
2562,╢,BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
2563,╣,BOX DRAWINGS DOUBLE VERTICAL AND LEFT
2564,╤,BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
2565,╥,BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
2566,╦,BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
2567,╧,BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
2568,╨,BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
2569,╩,BOX DRAWINGS DOUBLE UP AND HORIZONTAL
256A,╪,BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
256B,╫,BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
256C,╬,BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
256D,╭,BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
256E,╮,BOX DRAWINGS LIGHT ARC DOWN AND LEFT
256F,╯,BOX DRAWINGS LIGHT ARC UP AND LEFT
2570,╰,BOX DRAWINGS LIGHT ARC UP AND RIGHT
2571,╱,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
2572,╲,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
2573,╳,BOX DRAWINGS LIGHT DIAGONAL CROSS
2574,╴,BOX DRAWINGS LIGHT LEFT
2575,╵,BOX DRAWINGS LIGHT UP
2576,╶,BOX DRAWINGS LIGHT RIGHT
2577,╷,BOX DRAWINGS LIGHT DOWN
2578,╸,BOX DRAWINGS HEAVY LEFT
2579,╹,BOX DRAWINGS HEAVY UP
257A,╺,BOX DRAWINGS HEAVY RIGHT
257B,╻,BOX DRAWINGS HEAVY DOWN
257C,╼,BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
257D,╽,BOX DRAWINGS LIGHT UP AND HEAVY DOWN
257E,╾,BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
257F,╿,BOX DRAWINGS HEAVY UP AND LIGHT DOWN
1FBA0,🮠,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT
1FBA1,🮡,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT
1FBA2,🮢,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER CENTRE
1FBA3,🮣,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER CENTRE
1FBA4,🮤,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE
1FBA5,🮥,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE
1FBA6,🮦,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER CENTRE TO MIDDLE RIGHT
1FBA7,🮧,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO UPPER CENTRE TO MIDDLE RIGHT
1FBA8,🮨,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT AND MIDDLE RIGHT TO LOWER CENTRE
1FBA9,🮩,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT AND MIDDLE LEFT TO LOWER CENTRE
1FBAA,🮪,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE TO MIDDLE LEFT
1FBAB,🮫,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE TO MIDDLE RIGHT
1FBAC,🮬,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO UPPER CENTRE TO MIDDLE RIGHT TO LOWER CENTRE
1FBAD,🮭,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO UPPER CENTRE TO MIDDLE LEFT TO LOWER CENTRE
1FBAE,🮮,BOX DRAWINGS LIGHT DIAGONAL DIAMOND
1FBAF,🮯,BOX DRAWINGS LIGHT HORIZONTAL WITH VERTICAL STROKE
1FBBD,🮽,NEGATIVE DIAGONAL CROSS
1FBBE,🮾,NEGATIVE DIAGONAL MIDDLE RIGHT TO LOWER CENTRE
1FBBF,🮿,NEGATIVE DIAGONAL DIAMOND
1FBD0,🯐,BOX DRAWINGS LIGHT DIAGONAL MIDDLE RIGHT TO LOWER LEFT
1FBD1,🯑,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT
1FBD2,🯒,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT
1FBD3,🯓,BOX DRAWINGS LIGHT DIAGONAL MIDDLE LEFT TO LOWER RIGHT
1FBD4,🯔,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE
1FBD5,🯕,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER RIGHT
1FBD6,🯖,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER CENTRE
1FBD7,🯗,BOX DRAWINGS LIGHT DIAGONAL UPPER CENTRE TO LOWER LEFT
1FBD8,🯘,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO UPPER RIGHT
1FBD9,🯙,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE CENTRE TO LOWER RIGHT
1FBDA,🯚,BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO MIDDLE CENTRE TO LOWER RIGHT
1FBDB,🯛,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO LOWER LEFT
1FBDC,🯜,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER CENTRE TO UPPER RIGHT
1FBDD,🯝,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO MIDDLE LEFT TO LOWER RIGHT
1FBDE,🯞,BOX DRAWINGS LIGHT DIAGONAL LOWER LEFT TO UPPER CENTRE TO LOWER RIGHT
1FBDF,🯟,BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO MIDDLE RIGHT TO LOWER LEFT
1CC1B,𜰛,BOX DRAWINGS LIGHT HORIZONTAL AND UPPER RIGHT
1CC1C,𜰜,BOX DRAWINGS LIGHT HORIZONTAL AND LOWER RIGHT
1CC1D,𜰝,BOX DRAWINGS LIGHT TOP AND UPPER LEFT
1CC1E,𜰞,BOX DRAWINGS LIGHT BOTTOM AND LOWER LEFT
1CC1F,𜰟,BOX DRAWINGS DOUBLE DIAGONAL UPPER RIGHT TO LOWER LEFT
1CC20,𜰠,BOX DRAWINGS DOUBLE DIAGONAL UPPER LEFT TO LOWER RIGHT
1CE09,𜸉,BOX DRAWINGS DOUBLE DIAGONAL LOWER LEFT TO MIDDLE CENTRE TO LOWER RIGHT
1CE0A,𜸊,BOX DRAWINGS DOUBLE DIAGONAL UPPER LEFT TO MIDDLE CENTRE TO UPPER RIGHT
1CE0D,𜸍,LEFT HALF TRIPLE DASH HORIZONTAL
1CE0E,𜸎,RIGHT HALF TRIPLE DASH HORIZONTAL
1CE0F,𜸏,HORIZONTAL LINE WITH TICK MARK
1CE10,𜸐,LEFT HALF HORIZONTAL LINE WITH THREE TICK MARKS
1CE11,𜸑,RIGHT HALF HORIZONTAL LINE WITH THREE TICK MARKS
1CE12,𜸒,HORIZONTAL LINE WITH THREE TICK MARKS
1CE13,𜸓,LOWER HALF VERTICAL LINE WITH THREE TICK MARKS
1CE14,𜸔,UPPER HALF VERTICAL LINE WITH THREE TICK MARKS
1CE15,𜸕,VERTICAL LINE WITH THREE TICK MARKS
1CE16,𜸖,BOX DRAWINGS LIGHT VERTICAL AND TOP RIGHT
1CE17,𜸗,BOX DRAWINGS LIGHT VERTICAL AND BOTTOM RIGHT
1CE18,𜸘,BOX DRAWINGS LIGHT VERTICAL AND TOP LEFT
1CE19,𜸙,BOX DRAWINGS LIGHT VERTICAL AND BOTTOM LEFT
1CE1A,𜸚,LARGE TYPE PIECE UPPER LEFT ARC
1CE1B,𜸛,LARGE TYPE PIECE UPPER LEFT CORNER
1CE1C,𜸜,LARGE TYPE PIECE UPPER TERMINAL
1CE1D,𜸝,LARGE TYPE PIECE UPPER LEFT CROTCH
1CE1E,𜸞,LARGE TYPE PIECE LEFT ARM
1CE1F,𜸟,LARGE TYPE PIECE CROSSBAR
1CE20,𜸠,LARGE TYPE PIECE CROSSBAR WITH LOWER STEM
1CE21,𜸡,LARGE TYPE PIECE UPPER HALF VERTEX OF M
1CE22,𜸢,LARGE TYPE PIECE DIAGONAL LOWER LEFT
1CE23,𜸣,LARGE TYPE PIECE SHORT UPPER TERMINAL
1CE24,𜸤,LARGE TYPE PIECE UPPER RIGHT ARC
1CE25,𜸥,LARGE TYPE PIECE RIGHT ARM
1CE26,𜸦,LARGE TYPE PIECE UPPER RIGHT CROTCH
1CE27,𜸧,LARGE TYPE PIECE UPPER RIGHT CORNER
1CE28,𜸨,LARGE TYPE PIECE STEM WITH RIGHT CROSSBAR
1CE29,𜸩,LARGE TYPE PIECE STEM
1CE2A,𜸪,LARGE TYPE PIECE DIAGONAL UPPER RIGHT AND LOWER RIGHT
1CE2B,𜸫,LARGE TYPE PIECE DIAGONAL UPPER RIGHT
1CE2C,𜸬,LARGE TYPE PIECE DIAGONAL LOWER RIGHT
1CE2D,𜸭,LARGE TYPE PIECE SHORT LOWER TERMINAL
1CE2E,𜸮,LARGE TYPE PIECE LOWER LEFT AND UPPER LEFT ARC
1CE2F,𜸯,LARGE TYPE PIECE CENTRE OF K
1CE30,𜸰,LARGE TYPE PIECE LOWER HALF VERTEX OF M
1CE31,𜸱,LARGE TYPE PIECE UPPER HALF VERTEX OF W
1CE32,𜸲,LARGE TYPE PIECE CENTRE OF X
1CE33,𜸳,LARGE TYPE PIECE CENTRE OF Y
1CE34,𜸴,LARGE TYPE PIECE CENTRE OF Z WITH CROSSBAR
1CE35,𜸵,LARGE TYPE PIECE RAISED UPPER LEFT ARC
1CE36,𜸶,LARGE TYPE PIECE STEM WITH LEFT CROSSBAR
1CE37,𜸷,LARGE TYPE PIECE LOWER RIGHT AND UPPER RIGHT ARC
1CE38,𜸸,LARGE TYPE PIECE DIAGONAL UPPER LEFT AND LOWER LEFT
1CE39,𜸹,LARGE TYPE PIECE STEM WITH LEFT JOINT
1CE3A,𜸺,LARGE TYPE PIECE STEM WITH CROSSBAR
1CE3B,𜸻,LARGE TYPE PIECE DIAGONAL UPPER LEFT
1CE3C,𜸼,LARGE TYPE PIECE LOWER TERMINAL
1CE3D,𜸽,LARGE TYPE PIECE LOWER LEFT CORNER
1CE3E,𜸾,LARGE TYPE PIECE LOWER LEFT ARC
1CE3F,𜸿,LARGE TYPE PIECE LOWER LEFT CROTCH
1CE40,𜹀,LARGE TYPE PIECE CROSSBAR WITH UPPER STEM
1CE41,𜹁,LARGE TYPE PIECE VERTEX OF V
1CE42,𜹂,LARGE TYPE PIECE LOWER HALF VERTEX OF W
1CE43,𜹃,LARGE TYPE PIECE LOWER RIGHT ARC
1CE44,𜹄,LARGE TYPE PIECE LOWER RIGHT CORNER
1CE45,𜹅,LARGE TYPE PIECE LOWER RIGHT ARC WITH TAIL
1CE46,𜹆,LARGE TYPE PIECE LOWER RIGHT CROTCH
1CE47,𜹇,LARGE TYPE PIECE STEM-45
1CE48,𜹈,LARGE TYPE PIECE STEM-2345
1CE49,𜹉,LARGE TYPE PIECE STEM-4
1CE4A,𜹊,LARGE TYPE PIECE STEM-34
1CE4B,𜹋,LARGE TYPE PIECE STEM-234
1CE4C,𜹌,LARGE TYPE PIECE STEM-1234
1CE4D,𜹍,LARGE TYPE PIECE STEM-3
1CE4E,𜹎,LARGE TYPE PIECE STEM-23
1CE4F,𜹏,LARGE TYPE PIECE STEM-2
1CE50,𜹐,LARGE TYPE PIECE STEM-12
1CEB0,𜺰,HORIZONTAL ZIGZAG LINE
