codepoint,character,name
277B,❻,DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C,❼,DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D,❽,DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E,❾,DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F,❿,DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780,➀,DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781,➁,DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782,➂,DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783,➃,DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784,➄,DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785,➅,DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786,➆,DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787,➇,DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788,➈,DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789,➉,DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A,➊,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B,➋,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C,➌,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D,➍,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E,➎,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F,➏,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790,➐,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791,➑,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792,➒,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793,➓,DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794,➔,HEAVY WIDE-HEADED RIGHTWARDS ARROW
2795,➕,HEAVY PLUS SIGN
2796,➖,HEAVY MINUS SIGN
2797,➗,HEAVY DIVISION SIGN
2798,➘,HEAVY SOUTH EAST ARROW
2799,➙,HEAVY RIGHTWARDS ARROW
279A,➚,HEAVY NORTH EAST ARROW
279B,➛,DRAFTING POINT RIGHTWARDS ARROW
279C,➜,HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D,➝,TRIANGLE-HEADED RIGHTWARDS ARROW
279E,➞,HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F,➟,DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0,➠,HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1,➡,BLACK RIGHTWARDS ARROW
27A2,➢,THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
27A3,➣,THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
27A4,➤,BLACK RIGHTWARDS ARROWHEAD
27A5,➥,HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
27A6,➦,HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
27A7,➧,SQUAT BLACK RIGHTWARDS ARROW
27A8,➨,HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
27A9,➩,RIGHT-SHADED WHITE RIGHTWARDS ARROW
27AA,➪,LEFT-SHADED WHITE RIGHTWARDS ARROW
27AB,➫,BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AC,➬,FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
27AD,➭,HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AE,➮,HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27AF,➯,NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B0,➰,CURLY LOOP
27B1,➱,NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B2,➲,CIRCLED HEAVY WHITE RIGHTWARDS ARROW
27B3,➳,WHITE-FEATHERED RIGHTWARDS ARROW
27B4,➴,BLACK-FEATHERED SOUTH EAST ARROW
27B5,➵,BLACK-FEATHERED RIGHTWARDS ARROW
27B6,➶,BLACK-FEATHERED NORTH EAST ARROW
27B7,➷,HEAVY BLACK-FEATHERED SOUTH EAST ARROW
27B8,➸,HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
27B9,➹,HEAVY BLACK-FEATHERED NORTH EAST ARROW
27BA,➺,TEARDROP-BARBED RIGHTWARDS ARROW
27BB,➻,HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
27BC,➼,WEDGE-TAILED RIGHTWARDS ARROW
27BD,➽,HEAVY WEDGE-TAILED RIGHTWARDS ARROW
27BE,➾,OPEN-OUTLINED RIGHTWARDS ARROW
27BF,➿,DOUBLE CURLY LOOP
1F650,🙐,NORTH WEST POINTING LEAF
1F651,🙑,SOUTH WEST POINTING LEAF
1F652,🙒,NORTH EAST POINTING LEAF
1F653,🙓,SOUTH EAST POINTING LEAF
1F654,🙔,TURNED NORTH WEST POINTING LEAF
1F655,🙕,TURNED SOUTH WEST POINTING LEAF
1F656,🙖,TURNED NORTH EAST POINTING LEAF
1F657,🙗,TURNED SOUTH EAST POINTING LEAF
1F658,🙘,NORTH WEST POINTING VINE LEAF
1F659,🙙,SOUTH WEST POINTING VINE LEAF
1F65A,🙚,NORTH EAST POINTING VINE LEAF
1F65B,🙛,SOUTH EAST POINTING VINE LEAF
1F65C,🙜,HEAVY NORTH WEST POINTING VINE LEAF
1F65D,🙝,HEAVY SOUTH WEST POINTING VINE LEAF
1F65E,🙞,HEAVY NORTH EAST POINTING VINE LEAF
1F65F,🙟,HEAVY SOUTH EAST POINTING VINE LEAF
1F660,🙠,NORTH WEST POINTING BUD
1F661,🙡,SOUTH WEST POINTING BUD
1F662,🙢,NORTH EAST POINTING BUD
1F663,🙣,SOUTH EAST POINTING BUD
1F664,🙤,HEAVY NORTH WEST POINTING BUD
1F665,🙥,HEAVY SOUTH WEST POINTING BUD
1F666,🙦,HEAVY NORTH EAST POINTING BUD
1F667,🙧,HEAVY SOUTH EAST POINTING BUD
1F668,🙨,HOLLOW QUILT SQUARE ORNAMENT
1F669,🙩,HOLLOW QUILT SQUARE ORNAMENT IN BLACK SQUARE
1F66A,🙪,SOLID QUILT SQUARE ORNAMENT
1F66B,🙫,SOLID QUILT SQUARE ORNAMENT IN BLACK SQUARE
1F66C,🙬,LEFTWARDS ROCKET
1F66D,🙭,UPWARDS ROCKET
1F66E,🙮,RIGHTWARDS ROCKET
1F66F,🙯,DOWNWARDS ROCKET
1F670,🙰,SCRIPT LIGATURE ET ORNAMENT
1F671,🙱,HEAVY SCRIPT LIGATURE ET ORNAMENT
1F672,🙲,LIGATURE OPEN ET ORNAMENT
1F673,🙳,HEAVY LIGATURE OPEN ET ORNAMENT
1F674,🙴,HEAVY AMPERSAND ORNAMENT
1F675,🙵,SWASH AMPERSAND ORNAMENT
1F676,🙶,SANS-SERIF HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
1F677,🙷,SANS-SERIF HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
1F678,🙸,SANS-SERIF HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
1F679,🙹,HEAVY INTERROBANG ORNAMENT
1F67A,🙺,SANS-SERIF INTERROBANG ORNAMENT
1F67B,🙻,HEAVY SANS-SERIF INTERROBANG ORNAMENT
1F67C,🙼,VERY HEAVY SOLIDUS
1F67D,🙽,VERY HEAVY REVERSE SOLIDUS
1F67E,🙾,CHECKER BOARD
1F67F,🙿,REVERSE CHECKER BOARD
